customer_key;customer_id;Full_name;age;age_group;life_spand;nbr_order;total_sales;total_quantity;nbr_product;segment;recency;avg_order_value;avg_monthly_spend
82;11081;Savannah Baker;54;50 and Above;2;2;104;5;5;Regular;161;20;52
83;11082;Angela Butler;54;50 and Above;10;2;3110;6;6;Regular;154;518;311
84;11083;Alyssa Cox;49;40-49;10;2;3137;5;5;Regular;154;627;313
85;11084;Lucas Phillips;63;50 and Above;10;2;3078;5;5;Regular;154;615;307
86;11085;Emily Johnson;63;50 and Above;1;2;129;5;5;Regular;152;25;129
87;11086;Ryan Brown;63;50 and Above;5;2;153;6;6;Regular;153;25;30
88;11087;Tamara Liang;63;50 and Above;6;2;200;4;4;Regular;157;50;33
89;11088;Hunter Davis;63;50 and Above;10;2;3176;7;7;Regular;154;453;317
90;11089;Abigail Price;64;50 and Above;11;2;3188;7;7;Regular;154;455;289
91;11090;Trevor Bryant;58;50 and Above;27;3;6703;6;6;VIP;154;1117;248
92;11091;Dalton Perez;64;50 and Above;12;28;1186;59;25;Regular;152;20;98
93;11092;Cheryl Diaz;54;50 and Above;26;3;8110;5;5;VIP;159;1622;311
94;11093;Aimee He;48;40-49;26;3;8180;7;7;VIP;159;1168;314
95;11094;Cedric Ma;59;50 and Above;9;3;236;8;8;Regular;152;29;26
96;11095;Chad Kumar;58;50 and Above;26;3;8158;7;7;VIP;159;1165;313
97;11096;Andr├⌐s Anand;58;50 and Above;27;3;8063;4;4;VIP;158;2015;298
98;11097;Edwin Nara;54;50 and Above;27;3;8099;5;5;VIP;158;1619;299
99;11098;Mallory Rubio;60;50 and Above;8;3;89;4;4;Regular;155;22;11
100;11099;Adam Ross;60;50 and Above;27;3;8216;9;8;VIP;158;912;304
101;11100;Latasha Navarro;60;50 and Above;28;3;8172;7;7;VIP;157;1167;291
102;11101;Abby Sai;56;50 and Above;26;3;8262;7;7;VIP;159;1180;317
103;11102;Julia Nelson;56;50 and Above;5;3;103;5;5;Regular;153;20;20
104;11103;Cassie Chande;45;40-49;26;3;8182;8;8;VIP;159;1022;314
105;11104;Edgar Sara;51;50 and Above;25;3;8173;6;6;VIP;159;1362;326
106;11105;Candace Fernandez;56;50 and Above;25;3;8096;5;5;VIP;159;1619;323
107;11106;Jessie Liu;56;50 and Above;25;3;8079;3;3;VIP;159;2693;323
108;11107;Bianca Lin;50;50 and Above;25;3;8171;6;6;VIP;159;1361;326
109;11108;Kari Alvarez;57;50 and Above;25;3;8124;5;5;VIP;159;1624;324
110;11109;Ruben Kapoor;46;40-49;25;3;8245;8;8;VIP;159;1030;329
111;11110;Curtis Yang;59;50 and Above;27;3;8093;5;5;VIP;157;1618;299
112;11111;Meredith Gutierrez;59;50 and Above;27;3;8137;8;8;VIP;157;1017;301
113;11112;Crystal Wang;58;50 and Above;28;3;8295;6;6;VIP;156;1382;296
114;11113;Micheal Blanco;53;50 and Above;2;3;110;7;7;Regular;161;15;55
115;11114;Leslie Moreno;59;50 and Above;9;3;123;7;6;Regular;153;17;13
116;11115;Alvin Cai;59;50 and Above;11;3;114;6;6;Regular;152;19;10
117;11116;Clinton Carlson;47;40-49;7;3;149;7;7;Regular;155;21;21
118;11117;April Deng;60;50 and Above;25;3;8185;8;8;VIP;159;1023;327
119;11118;Alvin Zeng;64;50 and Above;6;3;124;8;6;Regular;152;15;20
120;11119;Evan James;86;50 and Above;9;2;85;4;4;Regular;154;21;9
121;11120;Beth Jim├⌐nez;84;50 and Above;28;3;8242;10;10;VIP;156;824;294
122;11121;Orlando Suarez;60;50 and Above;5;3;58;6;5;Regular;154;9;11
123;11122;Byron Vazquez;61;50 and Above;6;3;43;3;3;Regular;157;14;7
124;11123;Philip Alvarez;61;50 and Above;9;3;150;8;7;Regular;152;18;16
125;11124;Ross Jordan;58;50 and Above;25;3;8129;6;6;VIP;159;1354;325
126;11125;Dana Navarro;65;50 and Above;6;3;79;7;7;Regular;158;11;13
127;11126;Shaun Carson;72;50 and Above;30;3;4971;8;7;New;154;621;165
128;11127;Jan Edwards;45;40-49;6;2;44;3;3;Regular;155;14;7
129;11128;Samantha Long;45;40-49;2;2;144;7;7;Regular;157;20;72
130;11129;Julia Wright;45;40-49;17;2;5873;2;2;VIP;164;2936;345
131;11130;Caroline Russell;41;40-49;0;1;37;2;2;Regular;153;18;0
132;11131;Amanda Rivera;41;40-49;3;5;166;9;9;Regular;152;18;55
133;11132;Melissa Richardson;40;40-49;0;1;2372;6;6;Regular;161;395;0
134;11133;Angela Griffin;40;40-49;0;1;72;4;4;Regular;153;18;0
135;11134;Larry Townsend;69;50 and Above;30;3;4911;3;3;New;154;1637;163
136;11135;Marcus Harris;41;40-49;0;1;2335;3;3;Regular;161;778;0
137;11136;Brianna Morgan;42;40-49;0;1;2381;3;3;Regular;164;793;0
138;11137;Jasmine Taylor;42;40-49;6;2;202;5;4;Regular;152;40;33
139;11138;Lauren Davis;42;40-49;3;2;79;4;4;Regular;153;19;26
140;11139;Tanya Moreno;77;50 and Above;1;2;84;3;3;Regular;155;28;84
141;11140;Javier Alvarez;44;40-49;0;1;40;2;2;Regular;162;20;0
142;11141;Nicole Ramirez;44;40-49;4;2;114;5;5;Regular;156;22;28
143;11142;Eduardo Patterson;43;40-49;11;17;979;36;23;Regular;152;27;89
144;11143;Jonathan Henderson;44;40-49;6;2;48;5;4;Regular;153;9;8
145;11144;Edward Hernandez;41;40-49;0;1;2400;3;3;Regular;164;800;0
146;11145;Jasmine Coleman;41;40-49;0;1;2310;3;3;Regular;164;770;0
147;11146;Karla Goel;81;50 and Above;7;3;113;7;6;Regular;156;16;16
148;11147;Ernest Wu;82;50 and Above;29;3;8195;7;7;VIP;155;1170;282
149;11148;Ross Vazquez;79;50 and Above;9;3;126;6;5;Regular;153;21;14
150;11149;Theodore Gill;80;50 and Above;5;3;41;4;4;Regular;154;10;8
151;11150;Russell Shen;80;50 and Above;4;3;192;8;7;Regular;158;24;48
152;11151;Melinda Gill;79;50 and Above;29;3;8087;6;6;VIP;155;1347;278
153;11152;James Williams;45;40-49;0;1;2295;1;1;Regular;164;2295;0
154;11153;Angela James;45;40-49;0;2;110;5;5;Regular;162;22;0
155;11154;Megan Walker;44;40-49;0;1;2320;1;1;Regular;164;2320;0
156;11155;Hunter Robinson;45;40-49;0;1;2320;1;1;Regular;164;2320;0
157;11156;Maria Roberts;45;40-49;0;1;2390;4;4;Regular;164;597;0
158;11157;Hannah Long;46;40-49;2;2;41;3;3;Regular;156;13;20
159;11158;Jason Wright;45;40-49;0;1;2396;3;3;Regular;164;798;0
160;11159;Brianna Hughes;45;40-49;2;2;48;5;4;Regular;154;9;24
161;11160;Maurice Tang;47;40-49;0;1;2322;2;2;Regular;163;1161;0
162;11161;Emily Wood;47;40-49;5;2;94;6;6;Regular;154;15;18
163;11162;Chase Cox;47;40-49;0;1;2330;2;2;Regular;163;1165;0
164;11163;Gabriel Wang;46;40-49;3;2;46;4;4;Regular;157;11;15
165;11164;Devin Brooks;47;40-49;4;2;145;6;6;Regular;157;24;36
166;11165;Jocelyn Alexander;47;40-49;1;2;103;3;3;Regular;159;34;103
167;11166;Ashley Martinez;49;40-49;2;2;88;5;5;Regular;153;17;44
168;11167;Jasmine Barnes;48;40-49;10;2;3126;4;4;Regular;154;781;312
169;11168;David Rodriguez;53;50 and Above;10;2;3136;7;7;Regular;154;448;313
170;11169;Bryce Richardson;53;50 and Above;4;2;81;5;5;Regular;156;16;20
171;11170;Carol Howard;53;50 and Above;4;2;157;7;7;Regular;153;22;39
172;11171;Jonathan Hill;48;40-49;27;3;6716;8;8;VIP;154;839;248
173;11172;Gabrielle Adams;53;50 and Above;8;2;129;7;6;Regular;152;18;16
174;11173;Sarah Thomas;53;50 and Above;9;2;103;3;3;Regular;153;34;11
175;11174;Nicholas Robinson;53;50 and Above;0;2;48;5;4;Regular;158;9;0
176;11175;Luis Wang;58;50 and Above;27;3;6710;8;8;VIP;154;838;248
177;11176;Mason Roberts;47;40-49;11;28;1317;60;27;Regular;152;21;119
178;11177;Jose Flores;78;50 and Above;7;2;135;6;6;Regular;155;22;19
179;11178;Nathan Johnson;72;50 and Above;3;2;145;6;6;Regular;160;24;48
180;11179;Molly Rodriguez;67;50 and Above;10;2;125;6;6;Regular;152;20;12
181;11180;April Anand;78;50 and Above;6;2;138;6;6;Regular;156;23;23
182;11181;Devin Martin;66;50 and Above;2;2;41;3;3;Regular;158;13;20
183;11182;Stephanie Torres;76;50 and Above;5;2;81;5;5;Regular;152;16;16
184;11183;Jasmine Lee;76;50 and Above;2;2;46;4;4;Regular;159;11;23
185;11184;Meghan Hernandez;71;50 and Above;2;2;68;5;5;Regular;155;13;34
186;11185;Ashley Henderson;76;50 and Above;11;27;1616;68;29;Regular;152;23;146
187;11186;Sarah Price;77;50 and Above;3;2;41;3;3;Regular;152;13;13
188;11187;Jennifer Cooper;77;50 and Above;4;2;108;4;4;Regular;157;27;27
189;11188;Catherine Morris;76;50 and Above;2;2;81;5;5;Regular;152;16;40
190;11189;Lawrence Blanco;76;50 and Above;18;2;5944;6;6;VIP;163;990;330
191;11190;Carson Bryant;77;50 and Above;5;2;46;4;4;Regular;152;11;9
192;11191;Kristi Perez;75;50 and Above;27;3;6743;7;7;VIP;154;963;249
193;11192;James Brown;75;50 and Above;3;2;114;5;5;Regular;156;22;38
194;11193;Ian Gray;76;50 and Above;6;2;41;3;3;Regular;157;13;6
195;11194;Jacqueline Price;76;50 and Above;9;2;105;6;6;Regular;153;17;11
196;11195;Megan Henderson;75;50 and Above;6;2;105;6;6;Regular;155;17;17
197;11196;Alfredo Romero;75;50 and Above;6;2;162;4;4;Regular;156;40;27
198;11197;Andrea Morris;75;50 and Above;2;2;207;6;5;Regular;158;34;103
199;11198;Brooke Sanders;74;50 and Above;0;2;98;4;4;Regular;163;24;0
200;11199;Jacqueline Bennett;69;50 and Above;7;2;132;6;6;Regular;155;22;18
201;11200;Jason Griffin;73;50 and Above;11;27;1461;55;26;Regular;152;26;132
202;11201;Amanda Foster;73;50 and Above;2;2;181;6;6;Regular;156;30;90
203;11202;Alexia Price;68;50 and Above;0;2;74;3;3;Regular;156;24;0
204;11203;Luis Diaz;67;50 and Above;10;17;800;32;19;Regular;153;25;80
205;11204;Destiny Rivera;73;50 and Above;3;2;77;4;4;Regular;154;19;25
206;11205;Abby Fernandez;72;50 and Above;3;2;37;2;2;Regular;155;18;12
207;11206;Blake Flores;72;50 and Above;0;2;77;4;4;Regular;160;19;0
208;11207;Danielle Cox;72;50 and Above;9;2;77;4;4;Regular;155;19;8
209;11208;Maria Reed;73;50 and Above;6;2;134;7;7;Regular;156;19;22
210;11209;Allison Evans;73;50 and Above;10;2;37;2;2;Regular;152;18;3
211;11210;Edward Wood;73;50 and Above;4;2;70;5;5;Regular;156;14;17
212;11211;Samantha Russell;66;50 and Above;11;17;792;33;22;Regular;152;24;72
213;11212;Chloe Campbell;71;50 and Above;12;17;824;33;20;Regular;152;24;68
214;11213;Stephanie Murphy;72;50 and Above;6;2;77;4;4;Regular;156;19;12
215;11214;Charles Miller;71;50 and Above;3;2;162;4;4;Regular;154;40;54
216;11215;Ana Perry;65;50 and Above;10;17;1154;32;21;Regular;153;36;115
217;11216;Jasmine Torres;71;50 and Above;18;2;5948;5;5;VIP;163;1189;330
218;11217;Natalie Adams;71;50 and Above;18;2;5953;3;3;VIP;163;1984;330
219;11218;Olivia Brown;65;50 and Above;11;2;39;3;2;Regular;152;13;3
220;11219;Charles Cook;70;50 and Above;3;2;39;3;2;Regular;152;13;13
221;11220;Erica Huang;65;50 and Above;9;2;50;4;4;Regular;153;12;5
222;11221;Nathan Perry;71;50 and Above;6;2;46;4;4;Regular;155;11;7
223;11222;Alexandra Rivera;70;50 and Above;0;2;208;6;6;Regular;154;34;0
224;11223;Hailey Patterson;69;50 and Above;12;27;1293;65;26;Regular;152;19;107
225;11224;Tiffany Li;69;50 and Above;28;3;6685;5;5;VIP;153;1337;238
226;11225;Madison Lee;64;50 and Above;3;2;73;5;5;Regular;156;14;24
227;11226;Sydney Ross;64;50 and Above;1;2;37;2;2;Regular;162;18;37
228;11227;Marshall Chavez;64;50 and Above;18;2;5910;5;5;VIP;163;1182;328
229;11228;Ashley Jones;70;50 and Above;3;2;77;4;4;Regular;152;19;25
230;11229;Adrian Stewart;69;50 and Above;6;2;81;5;5;Regular;152;16;13
231;11230;Amber Turner;70;50 and Above;5;2;54;5;5;Regular;153;10;10
232;11231;Dennis Zhang;63;50 and Above;9;2;64;4;4;Regular;154;16;7
233;11232;Hailey Bryant;68;50 and Above;2;2;39;3;2;Regular;154;13;19
234;11233;Todd Li;63;50 and Above;4;2;179;7;7;Regular;159;25;44
235;11234;Anna Griffin;68;50 and Above;7;2;76;4;4;Regular;156;19;10
236;11235;Angel Stewart;69;50 and Above;6;2;138;6;5;Regular;152;23;23
237;11236;Jeremy Butler;69;50 and Above;3;2;114;5;5;Regular;152;22;38
238;11237;Clarence Anand;62;50 and Above;26;4;10566;6;6;VIP;154;1761;406
239;11238;Mayra Prasad;62;50 and Above;27;4;7543;9;9;VIP;161;838;279
240;11239;Latoya Goel;57;50 and Above;28;4;7511;11;11;VIP;160;682;268
241;11240;Anne Hernandez;62;50 and Above;27;4;7586;13;10;VIP;160;583;280
242;11241;Lisa Cai;52;50 and Above;13;7;11468;25;20;VIP;155;458;882
243;11242;Larry Munoz;63;50 and Above;15;7;11067;12;12;VIP;153;922;737
244;11243;Robin Alvarez;63;50 and Above;28;4;7164;12;10;VIP;159;597;255
245;11244;Alexis Coleman;58;50 and Above;29;4;7175;12;11;VIP;158;597;247
246;11245;Ricky Vazquez;64;50 and Above;27;4;10580;9;9;VIP;153;1175;391
247;11246;Latasha Rubio;64;50 and Above;26;4;10575;7;7;VIP;153;1510;406
248;11247;Claudia Zhou;65;50 and Above;30;4;7131;12;11;VIP;157;594;237
249;11248;Tristan Alexander;60;50 and Above;0;1;38;3;3;Regular;158;12;0
250;11249;Cindy Patel;60;50 and Above;23;4;9890;11;11;VIP;156;899;430
251;11250;Shannon Liu;60;50 and Above;29;4;7115;11;10;VIP;157;646;245
252;11251;Xavier Long;88;50 and Above;0;1;2319;4;4;Regular;155;579;0
253;11252;Nicholas Thompson;89;50 and Above;28;3;6685;7;7;VIP;153;955;238
254;11253;Jos├⌐ Hernandez;77;50 and Above;9;16;695;30;16;Regular;153;23;77
255;11254;Johnathan Vance;88;50 and Above;1;2;204;9;9;Regular;153;22;204
256;11255;Colin Lin;88;50 and Above;1;2;114;5;5;Regular;162;22;114
257;11256;Katelyn Hernandez;87;50 and Above;6;2;81;5;5;Regular;155;16;13
258;11257;Jacqueline Powell;NULL;50 and Above;28;3;6676;6;6;VIP;153;1112;238
259;11258;Xavier Hill;88;50 and Above;2;2;49;4;4;Regular;158;12;24
260;11259;Victoria Stewart;56;50 and Above;27;3;6770;5;5;VIP;153;1354;250
261;11260;Katelyn Kelly;50;50 and Above;4;2;81;5;5;Regular;159;16;20
262;11261;Stephanie Collins;56;50 and Above;27;3;6650;4;4;VIP;153;1662;246
263;11262;Jennifer Simmons;51;50 and Above;11;27;1124;63;26;Regular;152;17;102
264;11263;Trinity Richardson;56;50 and Above;28;3;6753;9;9;VIP;153;750;241
265;11264;Eduardo Martin;57;50 and Above;10;2;3182;8;8;Regular;154;397;318
266;11265;Elizabeth Jones;56;50 and Above;0;1;2352;3;3;Regular;164;784;0
267;11266;Taylor Howard;57;50 and Above;16;2;5922;5;5;VIP;164;1184;370
268;11267;David Diaz;51;50 and Above;16;2;5943;5;5;VIP;164;1188;371
269;11268;Katelyn Carter;57;50 and Above;6;2;98;5;5;Regular;154;19;16
270;11269;Ryan Foster;51;50 and Above;1;2;42;3;3;Regular;156;14;42
271;11270;Robert Lee;51;50 and Above;16;2;5984;5;5;VIP;164;1196;374
272;11271;Danielle Reed;57;50 and Above;16;2;5973;5;5;VIP;164;1194;373
273;11272;Lauren Martinez;64;50 and Above;16;2;5975;4;4;VIP;164;1493;373
274;11273;Nathan Lal;64;50 and Above;0;2;273;8;8;Regular;160;34;0
275;11274;Kyle Foster;87;50 and Above;18;2;5888;4;4;VIP;163;1472;327
276;11275;Jenny Rai;87;50 and Above;17;2;5955;4;4;VIP;164;1488;350
277;11276;Nancy Chapman;52;50 and Above;12;27;987;57;22;Regular;152;17;82
278;11277;Charles Jackson;58;50 and Above;11;27;1434;65;26;Regular;152;22;130
279;11278;Jonathan Phillips;57;50 and Above;16;2;5908;3;3;VIP;164;1969;369
280;11279;Amanda Cook;52;50 and Above;3;2;44;4;3;Regular;159;11;14
281;11280;Robert Collins;57;50 and Above;1;2;77;4;4;Regular;157;19;77
282;11281;Megan Barnes;52;50 and Above;16;2;5921;5;5;VIP;164;1184;370
283;11282;Christian Thomas;59;50 and Above;17;2;5999;6;6;VIP;164;999;352
284;11283;Arturo Lal;58;50 and Above;3;2;44;4;3;Regular;157;11;14
285;11284;Theresa Serrano;59;50 and Above;3;2;55;5;3;Regular;160;11;18
286;11285;Jeremy Anderson;53;50 and Above;3;2;128;5;5;Regular;155;25;42
287;11286;Hunter Griffin;59;50 and Above;16;2;5954;5;5;VIP;164;1190;372
288;11287;Henry Garcia;60;50 and Above;12;27;1165;62;23;Regular;152;18;97
289;11288;Cindy Sanchez;48;40-49;5;2;77;4;4;Regular;157;19;15
290;11289;Maria Carter;54;50 and Above;16;2;5905;5;5;VIP;164;1181;369
291;11290;Katelyn Sanchez;54;50 and Above;16;2;5933;3;3;VIP;164;1977;370
292;11291;Jenna Wright;54;50 and Above;16;2;5873;2;2;VIP;164;2936;367
293;11292;Seth Phillips;59;50 and Above;15;2;5910;5;5;VIP;165;1182;394
294;11293;Luke Long;66;50 and Above;1;2;85;5;5;Regular;162;17;85
295;11294;Dalton Clark;65;50 and Above;4;2;42;3;3;Regular;152;14;10
296;11295;Taylor Lewis;67;50 and Above;16;2;6058;5;5;VIP;164;1211;378
297;11296;Haley Richardson;85;50 and Above;16;2;5897;4;4;VIP;164;1474;368
298;11297;Noah Coleman;86;50 and Above;17;2;5948;5;5;VIP;163;1189;349
299;11298;Jon Luo;86;50 and Above;17;2;5922;5;5;VIP;163;1184;348
300;11299;Orlando Vazquez;85;50 and Above;17;2;6015;4;4;VIP;163;1503;353
301;11300;Fernando Barnes;61;50 and Above;11;27;1499;67;28;Regular;153;22;136
302;11301;Cameron Rodriguez;61;50 and Above;4;2;131;5;5;Regular;155;26;32
303;11302;Spencer Russell;55;50 and Above;17;2;5938;5;5;VIP;163;1187;349
304;11303;Julia Coleman;60;50 and Above;17;2;5875;3;3;VIP;163;1958;345
305;11304;Julia Garcia;55;50 and Above;1;2;122;5;5;Regular;161;24;122
306;11305;Sean Evans;61;50 and Above;5;2;77;4;4;Regular;157;19;15
307;11306;Micah Zhou;61;50 and Above;3;2;42;3;3;Regular;156;14;14
308;11307;Hunter Rodriguez;61;50 and Above;17;2;5964;5;5;VIP;163;1192;350
309;11308;Ian Gonzales;67;50 and Above;4;2;94;4;4;Regular;152;23;23
310;11309;Victoria Lewis;67;50 and Above;6;2;42;3;3;Regular;152;14;7
311;11310;Erin Sanders;62;50 and Above;4;2;77;4;4;Regular;153;19;19
312;11311;Gabrielle Lopez;67;50 and Above;5;2;77;4;4;Regular;156;19;15
313;11312;Sara Richardson;68;50 and Above;1;2;42;3;3;Regular;159;14;42
314;11313;Trevor Jenkins;68;50 and Above;6;2;44;4;3;Regular;154;11;7
315;11314;Mya Flores;56;50 and Above;10;2;47;4;3;Regular;153;11;4
316;11315;Hailey Ward;67;50 and Above;7;2;42;3;3;Regular;153;14;6
317;11316;Luke Allen;67;50 and Above;0;1;2350;2;2;Regular;164;1175;0
318;11317;Victoria Russell;63;50 and Above;17;2;5873;2;2;VIP;163;2936;345
319;11318;Jessica Wilson;68;50 and Above;1;2;44;4;3;Regular;154;11;44
320;11319;Jade Bailey;78;50 and Above;17;2;5930;4;4;VIP;163;1482;348
321;11320;Morgan Hill;84;50 and Above;2;2;72;5;5;Regular;157;14;36
322;11321;Terrance Raman;82;50 and Above;3;2;37;2;2;Regular;160;18;12
323;11322;Sydney Garcia;83;50 and Above;2;2;44;4;3;Regular;160;11;22
324;11323;Jose Patterson;83;50 and Above;16;2;6074;6;6;VIP;164;1012;379
325;11324;Zachary Anderson;82;50 and Above;17;2;5945;4;4;VIP;163;1486;349
326;11325;Elijah Ross;82;50 and Above;16;2;6044;7;7;VIP;164;863;377
327;11326;Rafael Xie;82;50 and Above;17;2;5948;5;5;VIP;163;1189;349
328;11327;Jaime Moreno;81;50 and Above;17;2;5915;5;5;VIP;163;1183;347
329;11328;Julian Griffin;81;50 and Above;3;2;4718;4;4;Regular;161;1179;1572
330;11329;Andy Alvarez;80;50 and Above;17;2;5898;2;2;VIP;163;2949;346
331;11330;Ryan Thompson;81;50 and Above;11;27;1134;57;24;Regular;152;19;103
